match_id,inning-batting,name,position,over-batsman,score,balls_bat,dots,ones,twos,threes,fours,sixes,out,balls_bowl,maidens,runs_bowled,wickets,bowler_extras,wicket_score,wicket_overs,wicket_no,wicket_bowler
1023595,2,JA Burns,5,3.5,10,13,5,4,3,0,0,0,bowled,0,0,0,0,0,56,7.4,4,CJ Green
1023595,2,BCJ Cutting,6,7.5,1,4,3,1,0,0,0,0,lbw,24,0,24,1,0,57,8.2,5,Fawad Ahmed
1023595,2,JS Floros,7,8.3,3,7,4,3,0,0,0,0,caught,6,0,3,0,1,63,10.1,6,Fawad Ahmed
1023595,2,JD Wildermuth,8,10.2,29,20,6,11,0,0,0,3,caught,24,0,36,2,4,113,15.6,7,CJ Green
1023595,2,MT Steketee,9,16.1,12,10,4,4,1,0,0,1,0,24,0,18,1,0,0,0.0,0,0
1023595,2,S Badree,0,0.0,0,0,0,0,0,0,0,0,0,24,0,19,2,1,0,0.0,0,0
1023595,2,MJ Swepson,0,0.0,0,0,0,0,0,0,0,0,0,18,0,48,1,1,0,0.0,0,0
1023595,1,Fawad Ahmed,0,0.0,0,0,0,0,0,0,0,0,0,24,0,18,2,1,0,0.0,0,0
426392,1,Salman Butt,1,0.1,17,21,12,7,1,0,1,0,caught,0,0,0,0,0,45,6.5,3,DJ Hussey
426392,1,Shahzaib Hasan,2,0.1,0,1,1,0,0,0,0,0,caught,0,0,0,0,0,2,0.5,1,DP Nannes
426392,1,Kamran Akmal,3,0.6,23,19,9,5,2,0,2,1,run out,0,0,0,0,0,45,6.4,2,DJ Hussey
426392,1,Shoaib Malik,4,6.5,21,18,6,9,0,0,3,0,caught,0,0,0,0,0,98,11.7,5,DP Nannes
426392,1,Shahid Afridi,5,6.6,0,1,1,0,0,0,0,0,lbw,24,0,23,1,2,47,7.4,4,SPD Smith
426392,1,Umar Akmal,6,7.5,68,30,5,14,2,0,7,3,bowled,0,0,0,0,0,153,18.3,7,SW Tait
426392,1,Abdul Razzaq,7,12.1,7,11,4,5,1,0,0,0,bowled,12,0,15,1,0,137,16.1,6,SW Tait
426392,1,Mohammad Amir,8,16.2,11,13,4,7,2,0,0,0,0,24,0,26,3,1,0,0.0,0,0
426392,1,Umar Gul,9,18.4,10,6,1,4,0,0,0,1,run out,18,0,13,2,0,166,19.6,8,DP Nannes
