city,competition,date_0,date_1,date_2,date_3,date_4,eliminator,file_no,gender,index,match_number,match_referee,method,neutralvenue,outcome,player_of_match,reserve_umpire,season,series,team,toss_decision,toss_winner,tv_umpire,umpire_0,umpire_1,venue,winner,winner_innings,winner_runs,winner_wickets
Derby,ICC Women's World Cup,2017/06/24,,,,,,1085946,female,0,2,RB Richardson,,,,S Mandhana,P Wilson,2017,,India,field,England,S George,Ahsan Raza,GO Brathwaite,County Ground,India,,35,
,,2015/01/26,,,,,,754757,male,0,5,AJ Pycroft,,,no result,,GA Abood,2014/15,Carlton Mid One-Day International Tri-Series,India,field,Australia,MD Martell,M Erasmus,P Wilson,Sydney Cricket Ground,,,,
,,2016/09/18,,,,,,1044203,female,0,1,GF Labrooy,,,,,RD Kottahachchi,2016,Australia Women in Sri Lanka ODI Series,Australia,bat,Sri Lanka,,RA Kottahachchi,RMPJ Rambukwella,Rangiri Dambulla International Stadium,Australia,,,4
Bangalore,,2007/09/29,,,,,,297793,male,0,1,BC Broad,,,no result,,S Asnani,2007/08,Australia in India ODI Series,Australia,bat,Australia,AM Saheba,SA Bucknor,SL Shastri,M Chinnaswamy Stadium,,,,
Christchurch,,2006/01/03,,,,,,226391,male,0,2,AG Hurst,,,,WU Tharanga,,2005/06,Sri Lanka in New Zealand ODI Series,Sri Lanka,field,New Zealand,AL Hill,GAV Baxter,DB Hair,Jade Stadium,New Zealand,,,5
,Zimbabwe Triangular Series,2014/08/29,,,,,,736447,male,0,3,J Srinath,,,,P Utseya,L Rusere,2014,,South Africa,field,Zimbabwe,O Chirombe,IJ Gould,TJ Matibiri,Harare Sports Club,South Africa,,61,
Brisbane,,2015/01/20,,,,,,754753,male,0,3,AJ Pycroft,,true,,ST Finn,JD Ward,2014/15,Carlton Mid One-Day International Tri-Series,India,bat,India,SD Fry,HDPK Dharmasena,MD Martell,"""Brisbane Cricket Ground",England,,,9
Chandigarh,,2007/10/08,,,,,,297796,male,0,4,BC Broad,,,,MS Dhoni,SD Ranade,2007/08,Australia in India ODI Series,Australia,bat,India,GA Pratapkumar,SA Bucknor,SL Shastri,Sector 16 Stadium,India,,8,
Fatullah,,2013/11/03,,,,,,668957,male,0,3,BC Broad,,,,Shamsur Rahman,Masudur Rahman,2013/14,New Zealand in Bangladesh ODI Series,New Zealand,field,Bangladesh,Sharfuddoula,Enamul Haque,REJ Martinesz,Khan Shaheb Osman Ali Stadium,Bangladesh,,,4
,Sri Lanka Triangular Series,2010/08/16,,,,,,456663,male,0,3,AG Hurst,,,,V Sehwag,RD Kottahachchi,2010,,India,bat,Sri Lanka,TH Wijewardene,Asad Rauf,REJ Martinesz,Rangiri Dambulla International Stadium,India,,,6
St Saviour,ICC World Cricket League Division Five,2016/05/28,,,,,,979845,male,0,,DT Jukes,,,,AW Hawkins-Kay,IO Oyieko,2016,,Oman,field,Oman,,AJ Neill,Tabarak Dar,Grainville,Jersey,,44,
London,ICC Champions Trophy,2017/06/08,,,,,,1022361,male,0,8,DC Boon,,true,,BKG Mendis,PR Reiffel,2017,,Sri Lanka,field,Sri Lanka,M Erasmus,RA Kettleborough,RJ Tucker,Kennington Oval,Sri Lanka,,,7
Nottingham,,2006/09/08,,,,,,225248,male,0,4,MJ Procter,,,,IR Bell,NJ Llong,2006,NatWest Series,Pakistan,bat,Pakistan,IJ Gould,MR Benson,DJ Harper,Trent Bridge,England,,,8
Christchurch,,2006/02/25,,,,,,238177,male,0,3,MJ Procter,,,,NJ Astle,,2005/06,West Indies in New Zealand ODI Series,West Indies,bat,New Zealand,GAV Baxter,BF Bowden,RE Koertzen,Jade Stadium,New Zealand,,21,
Mirpur,Kitply Cup,2008/06/10,,,,,,345469,male,0,2,JJ Crowe,,true,,V Sehwag,Anisur Rahman,2008,,Pakistan,bat,India,AFM Akhtaruddin,EAR de Silva,Enamul Haque,Shere Bangla National Stadium,India,,140,
St Kitts,ICC World Cup,2007/03/24,,,,,,247478,male,0,22,RS Madugalle,,true,,ML Hayden,EAR de Silva,2006/07,,South Africa,field,South Africa,AL Hill,MR Benson,SA Bucknor,"""Warner Park",Australia,,83,
Mirpur,,2014/06/17,,,,,,744681,male,0,2,RS Mahanama,D/L,,,STR Binny,Mahfuzur Rahman,2014,India in Bangladesh ODI Series,India,field,Bangladesh,Anisur Rahman,HDPK Dharmasena,Sharfuddoula,Shere Bangla National Stadium,India,,47,
Bermuda,ICC World Cricket League Division Three,2013/04/29,,,,,,628083,male,0,,DT Jukes,,,,,K Gibbons,2013,,Oman,field,Oman,,NG Bagh,S Taylor,"""Lords",Bermuda,,34,
Leeds,World Cup,2019/06/29,,,,,,1144518,male,0,36,BC Broad,,,,Imad Wasim,IJ Gould,2019,,Pakistan,bat,Afghanistan,CB Gaffaney,P Wilson,NJ Llong,Headingley,Pakistan,,,3
Hamilton,,2007/02/20,,,,,,251496,male,0,3,MJ Procter,,,,ML Hayden,EA Watkin,2006/07,Chappell-Hadlee Trophy,Australia,bat,Australia,AL Hill,Aleem Dar,GAV Baxter,Seddon Park,New Zealand,,,1
Kuala Lumpur,ICC World Cricket League Division Three,2014/10/23,,,,,,785963,male,0,,D Govindjee,,,,A Mutreja,N Sivan,2014/15,,Singapore,field,Singapore,,R D'Mello,C Young,Selangor Turf Club,Singapore,,,2
Perth,Commonwealth Bank Series,2012/02/08,,,,,,518957,male,0,2,AJ Pycroft,,true,,R Ashwin,IH Lock,2011/12,,Sri Lanka,bat,Sri Lanka,BNJ Oxenford,NJ Llong,PR Reiffel,Western Australia Cricket Association Ground,India,,,4
,"""ICC World Cricket League Championship",2012/02/20,,,,,,543882,male,0,18,D Govindjee,,,,EC Joyce,V Patel,2011/12,,Ireland,bat,Ireland,,S George,RB Tiffin,Mombasa Sports Club Ground,Ireland,,117,
Durban,,2013/12/08,,,,,,648653,male,0,2,AJ Pycroft,,,,Q de Kock,JD Cloete,2013/14,India in South Africa ODI Series,India,field,India,AT Holdstock,S George,RK Illingworth,Kingsmead,South Africa,,134,
Dublin,,2017/05/21,,,,,,1033369,male,0,5,DT Jukes,,,,TWM Latham,R Black,2017,Ireland Tri-Nation Series,New Zealand,field,Ireland,RSA Palliyaguruge,AJ Neill,JS Wilson,Malahide,New Zealand,,190,
Hambantota,,2014/12/03,,,,,,750667,male,0,3,DC Boon,D/L,,,JC Buttler,RR Wimalasiri,2014/15,England in Sri Lanka ODI Series,England,bat,Sri Lanka,SJ Davis,SD Fry,RSA Palliyaguruge,"""Mahinda Rajapaksa International Cricket Stadium",England,,,5
Wellington,ICC Cricket World Cup,2015/03/01,,,,,,656441,male,0,22,DC Boon,,true,,KC Sangakkara,SD Fry,2014/15,,Sri Lanka,bat,England,CB Gaffaney,BNJ Oxenford,RJ Tucker,Westpac Stadium,Sri Lanka,,,9
Mirpur,,2014/11/26,,,,,,760791,male,0,3,RS Madugalle,,,,Anamul Haque,Mahfuzur Rahman,2014/15,Zimbabwe in Bangladesh ODI Series,Zimbabwe,field,Zimbabwe,Sharfuddoula,Anisur Rahman,CB Gaffaney,Shere Bangla National Stadium,Bangladesh,,124,
Trinidad,ICC World Cup,2007/03/17,,,,,,247464,male,0,8,AG Hurst,,true,,Mashrafe Mortaza,DJ Harper,2006/07,,India,bat,India,IL Howell,Aleem Dar,SJ Davis,"""Queen's Park Oval",Bangladesh,,,5
,,2006/02/16,,,,,,237222,male,0,4,BC Broad,,,,RP Singh,,2005/06,India in Pakistan ODI Series,India,field,India,Zameer Haider,Asad Rauf,SA Bucknor,Multan Cricket Stadium,India,,,5
Mirpur,,2006/12/09,,,,,,264071,male,0,5,RS Madugalle,,,,GB Brent,Syed Mahabubullah,2006/07,Zimbabwe in Bangladesh ODI Series,Zimbabwe,field,Bangladesh,Ziaul Islam,Nadir Shah,SL Shastri,Shere Bangla National Stadium,Bangladesh,,,3
Windhoek,ICC World Cricket League Division Two,2015/01/17,,,,,,812777 (1),male,0,,D Govindjee,,true,,W Barresi,A Louw,2014/15,,Netherlands,field,Canada,,D Odhiambo,RT Robinson,United Cricket Club Ground,Netherlands,,67,
Hamilton,,2008/02/12,,,,,,300438 (1),male,0,2,AG Hurst,D/L,,,JD Ryder,BF Bowden,2007/08,England in New Zealand ODI Series,England,field,New Zealand,EA Watkin,Asad Rauf,GAV Baxter,Seddon Park,New Zealand,,,10
,ICC Cricket World Cup,2011/03/08,,,,,,433581,male,0,24,BC Broad,,true,,LRPL Taylor,SK Tarapore,2010/11,,Pakistan,bat,New Zealand,IJ Gould,DJ Harper,NJ Llong,Pallekele International Cricket Stadium,New Zealand,,110,
,,2015/11/17,,,,,,902645,male,0,3,RS Madugalle,,true,,JWA Taylor,Ahsan Raza,2015/16,Pakistan v England ODI Series,Pakistan,bat,Pakistan,CB Gaffaney,JD Cloete,Shozab Raza,Sharjah Cricket Stadium,England,,,6
Bloemfontein,,2016/02/03,,,,,,800469,male,0,1,J Srinath,D/L,,,Q de Kock,JD Cloete,2015/16,England in South Africa ODI Series,England,bat,England,HDPK Dharmasena,CB Gaffaney,S George,Mangaung Oval,England,,39,
Hobart,Commonwealth Bank Series,2008/02/26,,,,,,291369,male,0,11,JJ Crowe,,true,,P Kumar,SG John,2007/08,,Sri Lanka,field,India,BNJ Oxenford,RE Koertzen,SJA Taufel,Bellerive Oval,India,,,7
Lahore,,2009/01/24,,,,,,385751,male,0,3,BC Broad,,,,TM Dilshan,,2008/09,Sri Lanka in Pakistan ODI Series,Sri Lanka,bat,Sri Lanka,Nadeem Ghauri,Asad Rauf,NJ Llong,Gaddafi Stadium,Sri Lanka,,234,
Christchurch,,2017/02/22,,,,,,1020033,male,0,2,J Srinath,,,,LRPL Taylor,WR Knights,2016/17,South Africa in New Zealand ODI Series,South Africa,field,South Africa,JS Wilson,CM Brown,PR Reiffel,Hagley Oval,New Zealand,,6,
Johannesburg,ICC Champions Trophy,2009/10/03,,,,,,415286,male,0,,J Srinath,,true,,DL Vettori,SJ Davis,2009/10,,Pakistan,bat,Pakistan,DJ Harper,IJ Gould,SJA Taufel,New Wanderers Stadium,New Zealand,,,5
Bermuda,ICC World Cricket League Division Three,2013/05/05,,,,,,628095,male,0,,DT Jukes,,true,,Amir Ali,R Austin,2013,,Oman,bat,Italy,,R Dill,S Taylor,Somerset Cricket Club,Oman,,,5
Apia,ICC World Cricket League Division Eight,2012/09/17,,,,,,579741,male,0,,SR Bernard,D/L,true,,A Mansale,,2012,,Vanuatu,bat,Ghana,,GAV Baxter,ND Harrison,Faleata Oval No 1,Vanuatu,,,5
Cuttack,,2009/12/21,,,,,,430888,male,0,3,AG Hurst,,,,RA Jadeja,S Das,2009/10,Sri Lanka in India ODI Series,Sri Lanka,bat,Sri Lanka,SK Tarapore,M Erasmus,SS Hazare,Barabati Stadium,India,,,7
Port Moresby,"""ICC World Cricket League Championship",2016/05/30,,,,,,1014847,male,0,24,SR Bernard,,,,,A Kapa,2016,,Kenya,bat,Papua New Guinea,,MD Martell,L Oala,Amini Park,Papua New Guinea,,21,
Mumbai,,2015/10/25,,,,,,903601,male,0,5,BC Broad,,,,Q de Kock,,2015/16,South Africa in India ODI Series,South Africa,bat,South Africa,VA Kulkarni,AK Chaudhary,HDPK Dharmasena,Wankhede Stadium,South Africa,,214,
St Vincent,,2012/03/20,,,,,,540170,male,0,3,AJ Pycroft,,,tie,MEK Hussey,GO Brathwaite,2011/12,Australia in West Indies ODI Series,Australia,bat,Australia,SK Tarapore,HDPK Dharmasena,PJ Nero,"""Arnos Vale Ground",,,,
Colombo,,2012/07/28,,,,,,564783,male,0,3,BC Broad,,,,SK Raina,MVD Zilva,2012,India in Sri Lanka ODI Series,India,bat,Sri Lanka,REJ Martinesz,HDPK Dharmasena,BNJ Oxenford,R Premadasa Stadium,India,,,5
,,2013/02/26,,,,,,603241,female,0,3,WC Labrooy,,,,,RA Kottahachchi,2012/13,West Indies Women in Sri Lanka ODI Series,West Indies,field,Sri Lanka,,LE Hannibal,MSK Nandiweera,Rangiri Dambulla International Stadium,West Indies,,33,
,Commonwealth Bank Series,2008/02/08,,,,,,291361,male,0,3,JJ Crowe,,,,NW Bracken,GA Abood,2007/08,,Sri Lanka,bat,Australia,PD Parker,AL Hill,SJA Taufel,Sydney Cricket Ground,Australia,,128,
Antigua,ICC World Cup,2007/03/27,2007/03/28,,,,,247481,male,0,25,BC Broad,,,,ML Hayden,RE Koertzen,2006/07,,Australia,field,West Indies,BF Bowden,Aleem Dar,Asad Rauf,"""Sir Vivian Richards Stadium",Australia,,103,
London,,2017/05/07,,,,,,1029003,male,0,2,RS Madugalle,,,,JE Root,RJ Bailey,2017,Ireland in England ODI Series,Ireland,field,Ireland,Aleem Dar,PR Reiffel,RT Robinson,Lord's,England,,85,
Nagpur,,2007/10/14,,,,,,297798,male,0,6,BC Broad,,,,A Symonds,R Radhakrishnan,2007/08,Australia in India ODI Series,Australia,bat,Australia,SL Shastri,Aleem Dar,AM Saheba,Vidarbha Cricket Association Ground,Australia,,18,
Colombo,,2006/03/19,,,,,,238214,male,0,2,AG Hurst,,,,Abdul Razzaq,,2005/06,Pakistan in Sri Lanka ODI Series,Pakistan,field,Pakistan,PT Manuel,SJ Davis,TH Wijewardene,R Premadasa Stadium,Pakistan,,,4
Abu Dhabi,,2008/11/12,,,,,,374059,male,0,1,MJ Procter,,true,,CH Gayle,,2008/09,Pakistan v West Indies ODI Series,West Indies,bat,West Indies,DJ Harper,MR Benson,SJ Davis,Sheikh Zayed Stadium,Pakistan,,,4
Birmingham,ICC Champions Trophy,2013/06/15,,,,,,578623,male,0,10,BC Broad,D/L,true,,B Kumar,NJ Llong,2013,,Pakistan,field,India,HDPK Dharmasena,IJ Gould,RA Kettleborough,Edgbaston,India,,,8
Belfast,,2016/07/17,,,,,,997965,male,0,4,DT Jukes,,,,,R Black,2016,Afghanistan in Ireland ODI Series,Afghanistan,bat,Afghanistan,,AJ Neill,C Shamshuddin,"""Civil Service Cricket Club",Afghanistan,,79,
Belfast,,2016/07/12,,,,,,997961,male,0,2,DT Jukes,,,,,R Black,2016,Afghanistan in Ireland ODI Series,Afghanistan,field,Ireland,,AJ Neill,IN Ramage,"""Civil Service Cricket Club",Afghanistan,,39,
Brisbane,,2011/01/30,,,,,,446966,male,0,5,J Srinath,,,,CR Woakes,PR Reiffel,2010/11,England in Australia ODI Series,England,bat,Australia,M Erasmus,Asad Rauf,RJ Tucker,"""Brisbane Cricket Ground",Australia,,51,
Mirpur,Kitply Cup,2008/06/08,,,,,,345468,male,0,1,JJ Crowe,,,,Salman Butt,Tanvir Ahmed,2008,,Pakistan,field,Bangladesh,AFM Akhtaruddin,EAR de Silva,Enamul Haque,Shere Bangla National Stadium,Pakistan,,70,
Johannesburg,,2017/02/04,,,,,,936163,male,0,3,RB Richardson,,,,D Pretorius,S George,2016/17,Sri Lanka in South Africa ODI Series,Sri Lanka,field,South Africa,RK Illingworth,AT Holdstock,RA Kettleborough,New Wanderers Stadium,South Africa,,,7
Delhi,ICC Cricket World Cup,2011/03/07,,,,,,433580,male,0,23,RS Madugalle,,true,,H Osinde,SJ Davis,2010/11,,Kenya,bat,Kenya,BNJ Oxenford,Asad Rauf,BR Doctrove,Feroz Shah Kotla,Canada,,,5
Abu Dhabi,,2011/11/23,,,,,,530431,male,0,5,AJ Pycroft,,true,,Umar Akmal,Zameer Haider,2011/12,Pakistan v Sri Lanka ODI Series,Sri Lanka,bat,Sri Lanka,RK Illingworth,Ahsan Raza,M Erasmus,Sheikh Zayed Stadium,Pakistan,,,3
Johannesburg,ICC Champions Trophy,2009/09/30,,,,,,415284,male,0,12,JJ Crowe,,true,,V Kohli,SJ Davis,2009/10,,West Indies,field,India,DJ Harper,Aleem Dar,SJA Taufel,New Wanderers Stadium,India,,,7
Bristol,,2007/08/24,,,,,,258472,male,0,2,RS Mahanama,,,,R Dravid,PJ Hartley,2007,NatWest Series,India,bat,India,NJ Llong,BR Doctrove,IJ Gould,County Ground,India,,9,
Kuala Lumpur,DLF Cup,2006/09/14,,,,,,256607,male,0,2,BC Broad,D/L,true,,SR Tendulkar,Sarika Prasad,2006/07,,West Indies,bat,India,AL Hill,Asad Rauf,MR Benson,Kinrara Academy Oval,West Indies,,29,
Cape Town,,2009/04/09,,,,,,350479,male,0,3,RS Madugalle,,,,JH Kallis,MW Brown,2008/09,Australia in South Africa ODI Series,Australia,bat,South Africa,BG Jerling,EAR de Silva,RE Koertzen,Newlands,South Africa,,25,
Antigua,,2010/05/22,,,,,,439147,male,0,1,RS Mahanama,D/L,,,HM Amla,CE Mack,2010,South Africa in West Indies ODI Series,South Africa,field,West Indies,CR Duncan,DJ Harper,NA Malcolm,"""Sir Vivian Richards Stadium",South Africa,,66,
Abu Dhabi,,2009/04/27,,,,,,392618,male,0,3,JJ Crowe,,true,,MJ Clarke,Zameer Haider,2009,Australia v Pakistan ODI Series,Pakistan,bat,Australia,Nadeem Ghauri,Asad Rauf,BF Bowden,Sheikh Zayed Stadium,Australia,,27,
Antigua,ICC World Cup,2007/03/29,,,,,,247483,male,0,27,MJ Procter,,,,JDP Oram,BF Bowden,2006/07,,New Zealand,field,New Zealand,Aleem Dar,Asad Rauf,RE Koertzen,"""Sir Vivian Richards Stadium",New Zealand,,,7
Jamaica,,2013/06/28,,,,,,597923,male,0,1,JJ Crowe,,,,CH Gayle,PJ Nero,2013,West Indies Tri-Nation Series,Sri Lanka,field,West Indies,N Duguid,IJ Gould,JS Wilson,"""Sabina Park",West Indies,,,6
Potchefstroom,,2017/05/11,,,,,,1089524,female,0,5,D Govindjee,,,,L Wolvaardt,,2017,Women's Quadrangular Series (in South Africa),Ireland,bat,South Africa,,AT Holdstock,TC Mokorosi,Senwes Park,South Africa,,178,
Greater Noida,,2017/03/19,,,,,,1040495,male,0,3,GF Labrooy,,true,,PR Stirling,Bismillah Shinwari,2016/17,Afghanistan v Ireland ODI Series,Ireland,bat,Afghanistan,AK Chaudhary,Ahmed Shah Pakteen,Nitin Menon,Greater Noida Sports Complex Ground,Ireland,,,6
Port Moresby,"""ICC World Cricket League Championship",2016/05/28,,,,,,1014845,male,0,23,SR Bernard,,,,,L Oala,2016,,Kenya,bat,Kenya,,A Kapa,MD Martell,Amini Park,Papua New Guinea,,,6
,,2008/02/02,,,,,,325804,male,0,5,BC Broad,,,,Younis Khan,Anis Siddiqi,2007/08,Zimbabwe in Pakistan ODI Series,Zimbabwe,bat,Zimbabwe,Nadeem Ghauri,Aleem Dar,EAR de Silva,Sheikhupura Stadium,Pakistan,,,7
St Lucia,,2006/05/10,,,,,,239911,male,0,5,BC Broad,,,,CH Gayle,,2006,Zimbabwe in West Indies ODI Series,Zimbabwe,bat,Zimbabwe,SA Bucknor,BF Bowden,BR Doctrove,"""Beausejour Stadium",West Indies,,,10
Bristol,ICC Women's World Cup,2017/07/05,,,,,,1085957,female,0,13,SR Bernard,,,,SJ Taylor,Ahsan Raza,2017,,South Africa,bat,England,,K Cross,P Wilson,County Ground,England,,68,
Durban,,2006/11/22,,,,,,249211,male,0,2,BC Broad,,,,JH Kallis,S George,2006/07,India in South Africa ODI Series,India,bat,South Africa,BG Jerling,BR Doctrove,IL Howell,Kingsmead,South Africa,,157,
Navile,ICC World Cricket League Division Four,2010/08/18,,,,,,467089,male,0,,DT Jukes,,true,,AK Mandal,S Ketipe,2010,,Nepal,bat,Argentina,,IJ Gould,K Smith,Centro Sportivo Dozza,Nepal,,,8
Hyderabad,,2011/10/14,,,,,,521218,male,0,1,RS Mahanama,,,,MS Dhoni,K Srinath,2011/12,England in India ODI Series,England,bat,India,S Asnani,BF Bowden,SK Tarapore,"""Rajiv Gandhi International Stadium",India,,126,
Colombo,"""ICC Women's Championship",2016/11/17,2016/11/18,,,,,1059196,female,0,4,GF Labrooy,,,,,RA Kottahachchi,2016/17,England Women in Sri Lanka ODI Series,England,bat,England,,WN de Silva,RSA Palliyaguruge,R Premadasa Stadium,England,,162,
Chittagong,,2016/10/12,,,,,,1029823,male,0,3,J Srinath,,,,AU Rashid,Masudur Rahman,2016/17,England in Bangladesh ODI Series,England,field,England,Aleem Dar,Anisur Rahman,M Erasmus,Zahur Ahmed Chowdhury Stadium,England,,,4
,,2009/08/03,,,,,,403372,male,0,3,AG Hurst,,,,DPMD Jayawardene,MSK Nandiweera,2009,Pakistan in Sri Lanka ODI Series,Pakistan,field,Sri Lanka,HDPK Dharmasena,SJ Davis,EAR de Silva,Rangiri Dambulla International Stadium,Sri Lanka,,,6
Barbados,ICC World Twenty20,2010/05/09,,,,,,412695,male,0,19,JJ Crowe,,,,CH Gayle,BR Doctrove,2010,,India,field,India,SJ Davis,BF Bowden,SJA Taufel,"""Kensington Oval",West Indies,,14,
Chester-le-Street,World Cup,2019/07/01,,,,,,1144521,male,0,39,DC Boon,,,,WIA Fernando,RJ Tucker,2019,,West Indies,field,West Indies,S Ravi,BNJ Oxenford,PR Reiffel,Riverside Ground,Sri Lanka,,23,
Birmingham,,2007/08/27,,,,,,258473,male,0,3,RS Mahanama,,,,IR Bell,NJ Llong,2007,NatWest Series,India,field,India,PJ Hartley,MR Benson,BR Doctrove,Edgbaston,England,,42,
Belfast,,2008/08/25,,,,,,325576,male,0,2,MJ Procter,,,no result,,N McCarey,2008,Kenya in Ireland ODI Series,Kenya,field,Kenya,,PJ Hartley,IN Ramage,"""Civil Service Cricket Club",,,,
Colombo,ICC Women's World Cup Qualifier,2017/02/19,,,,,,1073428,female,0,28,,D/L,,,AC Jayangani,AK Chaudhary,2016/17,,Bangladesh,field,Bangladesh,,M Hawthorne,JM Williams,Nondescripts Cricket Club Ground,Sri Lanka,,42,
Perth,,2009/02/01,,,,,,351689,male,0,1,RS Mahanama,,,,KD Mills,,2008/09,Chappell-Hadlee Trophy,New Zealand,bat,Australia,PR Reiffel,SA Bucknor,BNJ Oxenford,Western Australia Cricket Association Ground,New Zealand,,,2
,,2010/02/19,,,,,,406196,male,0,5,J Srinath,,,,JR Hopes,JD Ward,2009/10,West Indies in Australia ODI Series,West Indies,bat,Australia,PR Reiffel,BF Bowden,BNJ Oxenford,Melbourne Cricket Ground,Australia,,125,
Edinburgh,,2016/07/06,,,,,,1003273,male,0,2,DT Jukes,D/L,,,,AJT Dowdalls,2016,Afghanistan in Scotland ODI Series,Afghanistan,bat,Afghanistan,,M Hawthorne,IN Ramage,"""Grange Cricket Club Ground",Afghanistan,,78,
Lincoln,"""ICC Women's Championship",2016/11/13,,,,,,1050609,female,0,3,SR Bernard,,,,,,2016/17,Pakistan Women in New Zealand ODI Series,Pakistan,bat,Pakistan,,K Cross,ED Sanders,Bert Sutcliffe Oval,New Zealand,,,8
Barbados,,2009/03/29,,,,,,352668,male,0,4,J Srinath,D/L,,,AJ Strauss,VV Bullen,2008/09,England in West Indies ODI Series,England,field,England,NA Malcolm,SA Bucknor,SJ Davis,"""Kensington Oval",England,,,9
London,,2006/06/20,,,,,,225251,male,0,2,CH Lloyd,,,,ST Jayasuriya,,2006,NatWest Series,Sri Lanka,bat,Sri Lanka,PJ Hartley,IJ Gould,DB Hair,Kennington Oval,Sri Lanka,,46,
Wellington,ICC Cricket World Cup,2015/03/12,,,,,,656469,male,0,36,RS Mahanama,,true,,AB de Villiers,Aleem Dar,2014/15,,United Arab Emirates,field,United Arab Emirates,BNJ Oxenford,SJ Davis,RJ Tucker,Westpac Stadium,South Africa,,146,
Antigua,ICC World Cup,2007/04/04,,,,,,247489,male,0,33,JJ Crowe,,true,,RS Bopara,Aleem Dar,2006/07,,Sri Lanka,field,England,RE Koertzen,Asad Rauf,BF Bowden,"""Sir Vivian Richards Stadium",Sri Lanka,,2,
,,2007/10/26,,,,,,299009,male,0,4,AG Hurst,,,,SM Pollock,Rasheed Bhatti,2007/08,South Africa in Pakistan ODI Series,South Africa,bat,Pakistan,Zameer Haider,Aleem Dar,BF Bowden,Multan Cricket Stadium,South Africa,,,7
Cape Town,,2013/11/24,,,,,,685731,male,0,1,BC Broad,,,,Anwar Ali,S George,2013/14,Pakistan in South Africa ODI Series,Pakistan,bat,Pakistan,BNJ Oxenford,JD Cloete,CB Gaffaney,Newlands,Pakistan,,23,
Delhi,Indian Premier League,2019/03/30,,,,,Delhi Capitals,1175365,male,0,10,J Srinath,,,tie,PP Shaw,HAS Khalid,2019,,Kolkata Knight Riders,field,Delhi Capitals,M Erasmus,AY Dandekar,Nitin Menon,Feroz Shah Kotla,,,,
London,,2009/09/06,,,,,,350044,male,0,2,RS Mahanama,,,,MG Johnson,RA Kettleborough,2009,NatWest Series,Australia,field,England,NJ Llong,IJ Gould,AL Hill,Lord's,Australia,,39,
Kuala Lumpur,ICC World Cricket League Division Three,2014/10/23,,,,,,785959,male,0,,D Govindjee,,true,,PM Selowa,DN Subedi,2014/15,,Uganda,field,Nepal,,JD Cloete,AW Louw,Kinrara Academy Oval,Uganda,,20,
Wellington,,2011/01/22,,,,,,473923,male,0,1,AG Hurst,,,,TG Southee,PD Jones,2010/11,Pakistan in New Zealand ODI Series,Pakistan,bat,Pakistan,BG Frost,CB Gaffaney,AM Saheba,Westpac Stadium,New Zealand,,,9
Ayr,,2010/08/17,,,,,,450501,male,0,2,BC Broad,,,,,RM Wylie,2010,Afghanistan in Scotland ODI Series,Afghanistan,bat,Afghanistan,,EAR de Silva,IN Ramage,Cambusdoon New Ground,Scotland,,,6
Leeds,,2010/09/12,,,,,,426429,male,0,2,JJ Crowe,,,,AJ Strauss,RA Kettleborough,2010,NatWest Series,Pakistan,bat,Pakistan,IJ Gould,BR Doctrove,NJ Llong,Headingley,England,,,4
Colombo,ICC Women's World Cup Qualifier,2017/02/07,,,,,,1073403,female,0,3,,,true,,CL Tryon,ID Gunawardene,2016/17,,South Africa,bat,South Africa,,K Cross,RR Wimalasiri,Nondescripts Cricket Club Ground,South Africa,,63,
Colombo,ICC Cricket World Cup,2011/03/01,,,,,,433571,male,0,14,BC Broad,,,,SL Malinga,DJ Harper,2010/11,,Kenya,bat,Kenya,IJ Gould,AL Hill,SK Tarapore,R Premadasa Stadium,Sri Lanka,,,9
Singapore,ICC World Cricket League Division Four,2014/06/22,,,,,,749545,male,0,,SR Bernard,,true,,Ahmed Faiz Mohammad Noor,B Manikandan,2014,,Malaysia,field,Malaysia,,Akbar Ali,DA Haggo,Kallang Ground,Malaysia,,,6
Colombo,ICC Women's World Cup Qualifier,2017/02/08,,,,,,1073407,female,0,7,,,true,,A Khaka,JWHD Boteju,2016/17,,South Africa,bat,Scotland,,S Redfern,LS Reifer,Mercantile Cricket Association Ground,South Africa,,,6
,,2013/11/16,,,,,,668965,male,0,3,BC Broad,D/L,,,SMSM Senanayake,ID Gunawardene,2013/14,New Zealand in Sri Lanka ODI Series,New Zealand,field,New Zealand,RR Wimalasiri,BNJ Oxenford,RSA Palliyaguruge,Rangiri Dambulla International Stadium,Sri Lanka,,36,
Cape Town,,2016/10/12,,,,,,936143,male,0,5,BC Broad,,,,DA Warner,AT Holdstock,2016/17,Australia in South Africa ODI Series,Australia,bat,South Africa,NJ Llong,S George,JS Wilson,Newlands,South Africa,,31,
Mirpur,Asia Cup,2014/03/03,,,,,,710303,male,0,7,BC Broad,,true,,KC Sangakkara,Masudur Rahman,2013/14,,Sri Lanka,bat,Sri Lanka,Anisur Rahman,JD Cloete,BNJ Oxenford,Shere Bangla National Stadium,Sri Lanka,,129,
,,2009/04/24,,,,,,392617,male,0,2,JJ Crowe,,true,,A Symonds,Nadeem Ghauri,2009,Australia v Pakistan ODI Series,Pakistan,bat,Pakistan,Zameer Haider,Asad Rauf,BF Bowden,Dubai Sports City Cricket Stadium,Australia,,,6
