city,competition,date_0,date_1,date_2,date_3,date_4,eliminator,file_no,gender,index,match_number,match_referee,method,neutralvenue,outcome,player_of_match,reserve_umpire,season,series,team,toss_decision,toss_winner,tv_umpire,umpire_0,umpire_1,venue,winner,winner_innings,winner_runs,winner_wickets
,,2015/10/13,,,,,,919617,male,0,3,J Srinath,,,,TJ Murtagh,L Rusere,2015/16,Ireland in Zimbabwe ODI Series,Ireland,field,Ireland,,JD Cloete,RB Tiffin,Harare Sports Club,Ireland,,,2
Perth,,2015/01/30,,,,,,754759,male,0,6,AJ Pycroft,,true,,JWA Taylor,GC Joshua,2014/15,Carlton Mid One-Day International Tri-Series,India,field,England,SD Fry,M Erasmus,JD Ward,Western Australia Cricket Association Ground,England,,,3
Bulawayo,,2013/08/03,,,,,,643677,male,0,5,BC Broad,,,,A Mishra,C Phiri,2013,India in Zimbabwe ODI Series,India,field,India,TJ Matibiri,O Chirombe,BNJ Oxenford,Queens Sports Club,India,,,7
Nelson,,2014/01/04,,,,,,661691,male,0,4,BC Broad,D/L,,,MJ Guptill,CB Gaffaney,2013/14,West Indies in New Zealand ODI Series,West Indies,bat,New Zealand,REJ Martinesz,BF Bowden,IJ Gould,Saxton Oval,New Zealand,,58,
Paarl,,2016/10/17,,,,,,935817,female,0,4,GH Pienaar,,,,,A Paleker,2016/17,New Zealand Women in South Africa ODI Series,New Zealand,field,New Zealand,,RN Hendricks,BM White,Boland Park,New Zealand,,,8
Christchurch,,2008/02/23,,,,,,300441,male,0,5,AG Hurst,D/L,,,BB McCullum,DM Quested,2007/08,England in New Zealand ODI Series,England,field,New Zealand,EA Watkin,Asad Rauf,BF Bowden,AMI Stadium,New Zealand,,34,
Abu Dhabi,,2009/05/03,,,,,,392620,male,0,5,JJ Crowe,,true,,Kamran Akmal,Zameer Haider,2009,Australia v Pakistan ODI Series,Pakistan,bat,Australia,Nadeem Ghauri,Aleem Dar,BF Bowden,Sheikh Zayed Stadium,Pakistan,,,7
Benoni,ICC World Cricket League Africa Region Qualifiers,2017/04/13,,,,,,1089150,male,0,15,D Govindjee,D/L,true,,G Bakiweyem,F Ekalunga,2017,,Zambia,bat,Zambia,,VR Angara,D Odhiambo,Willowmoore Park C Field,Ghana,,,9
Mirpur,,2014/11/28,,,,,,760793,male,0,4,RS Madugalle,,,,Mahmudullah,Tanvir Ahmed,2014/15,Zimbabwe in Bangladesh ODI Series,Zimbabwe,bat,Bangladesh,Sharfuddoula,Anisur Rahman,CB Gaffaney,Shere Bangla National Stadium,Bangladesh,,21,
Colombo,ICC Cricket World Cup,2011/03/29,,,,,,433604,male,0,,BC Broad,,,,KC Sangakkara,BR Doctrove,2010/11,,New Zealand,bat,New Zealand,M Erasmus,Aleem Dar,SJ Davis,R Premadasa Stadium,Sri Lanka,,,5
